ImageId,Label
1,8
2,0
3,8
4,8
5,1
6,7
7,0
8,3
9,0
10,8
11,8
12,7
13,7
14,0
15,8
16,3
17,3
18,1
19,8
20,3
21,8
22,1
23,8
24,1
25,7
26,8
27,8
28,7
29,1
30,8
31,7
32,6
33,8
34,8
35,6
36,7
37,7
38,8
39,1
40,6
41,7
42,7
43,8
44,7
45,7
46,7
47,8
48,8
49,1
50,8
51,6
52,8
53,1
54,1
55,8
56,3
57,1
58,8
59,8
60,3
61,1
62,1
63,7
64,5
65,0
66,0
67,1
68,8
69,0
70,1
71,6
72,3
73,8
74,8
75,8
76,8
77,3
78,8
79,3
80,8
81,3
82,8
83,1
84,6
85,8
86,3
87,8
88,8
89,6
90,7
91,8
92,0
93,6
94,1
95,1
96,8
97,8
98,8
99,7
100,7
101,0
102,8
103,8
104,0
105,8
106,8
107,0
108,5
109,7
110,7
111,7
112,0
113,8
114,7
115,1
116,8
117,1
118,1
119,7
120,8
121,5
122,7
123,8
124,1
125,1
126,3
127,8
128,8
129,8
130,8
131,7
132,8
133,1
134,0
135,0
136,0
137,8
138,1
139,8
140,6
141,6
142,3
143,8
144,1
145,8
146,8
147,7
148,7
149,7
150,1
151,8
152,3
153,8
154,8
155,3
156,8
157,7
158,3
159,7
160,8
161,5
162,0
163,8
164,8
165,1
166,1
167,8
168,6
169,7
170,0
171,8
172,7
173,7
174,6
175,1
176,3
177,7
178,6
179,1
180,8
181,8
182,1
183,8
184,8
185,8
186,8
187,3
188,1
189,1
190,0
191,6
192,1
193,8
194,8
195,6
196,0
197,8
198,7
199,6
200,8
201,1
202,8
203,0
204,8
205,8
206,0
207,8
208,8
209,8
210,8
211,0
212,7
213,5
214,1
215,7
216,8
217,1
218,6
219,3
220,8
221,8
222,8
223,1
224,8
225,8
226,8
227,7
228,6
229,1
230,0
231,0
232,8
233,8
234,1
235,8
236,8
237,8
238,3
239,8
240,6
241,8
242,6
243,8
244,8
245,7
246,3
247,8
248,5
249,1
250,8
251,8
252,7
253,1
254,1
255,8
256,7
257,8
258,1
259,8
260,3
261,6
262,3
263,8
264,5
265,7
266,0
267,8
268,8
269,3
270,1
271,8
272,0
273,8
274,3
275,8
276,3
277,1
278,3
279,8
280,8
281,0
282,8
283,7
284,0
285,7
286,3
287,7
288,8
289,8
290,8
291,8
292,7
293,7
294,8
295,8
296,8
297,8
298,0
299,8
300,8
301,6
302,8
303,8
304,8
305,8
306,8
307,7
308,1
309,8
310,6
311,8
312,8
313,8
314,8
315,0
316,7
317,7
318,8
319,1
320,1
321,8
322,1
323,1
324,7
325,8
326,8
327,1
328,1
329,3
330,8
331,1
332,3
333,1
334,3
335,0
336,8
337,0
338,1
339,6
340,8
341,6
342,8
343,1
344,8
345,8
346,0
347,6
348,8
349,8
350,8
351,6
352,7
353,7
354,7
355,3
356,8
357,7
358,8
359,8
360,1
361,3
362,8
363,3
364,8
365,8
366,8
367,1
368,7
369,1
370,6
371,1
372,8
373,7
374,8
375,7
376,6
377,8
378,5
379,3
380,8
381,6
382,5
383,5
384,8
385,8
386,1
387,8
388,1
389,8
390,0
391,1
392,7
393,8
394,6
395,6
396,1
397,1
398,1
399,7
400,3
401,7
402,7
403,8
404,1
405,1
406,1
407,8
408,3
409,1
410,8
411,5
412,8
413,8
414,1
415,8
416,7
417,1
418,1
419,3
420,8
421,7
422,1
423,6
424,8
425,7
426,1
427,8
428,7
429,8
430,7
431,8
432,8
433,7
434,8
435,6
436,1
437,1
438,6
439,5
440,0
441,8
442,7
443,7
444,8
445,8
446,8
447,1
448,8
449,8
450,8
451,8
452,7
453,6
454,8
455,1
456,8
457,8
458,5
459,1
460,6
461,1
462,7
463,8
464,0
465,5
466,1
467,7
468,8
469,8
470,1
471,1
472,8
473,8
474,3
475,8
476,8
477,1
478,3
479,1
480,6
481,8
482,8
483,1
484,8
485,8
486,8
487,8
488,8
489,8
490,8
491,8
492,8
493,8
494,1
495,3
496,7
497,8
498,7
499,8
500,0
501,6
502,6
503,8
504,6
505,1
506,8
507,3
508,3
509,8
510,3
511,7
512,1
513,8
514,8
515,7
516,8
517,1
518,7
519,8
520,8
521,6
522,8
523,6
524,7
525,7
526,1
527,0
528,1
529,1
530,7
531,0
532,5
533,1
534,8
535,8
536,0
537,6
538,8
539,8
540,1
541,6
542,8
543,8
544,8
545,0
546,5
547,0
548,8
549,8
550,1
551,1
552,3
553,0
554,3
555,6
556,0
557,7
558,0
559,6
560,8
561,8
562,8
563,8
564,1
565,3
566,3
567,8
568,1
569,1
570,6
571,6
572,7
573,3
574,1
575,0
576,8
577,1
578,8
579,8
580,8
581,5
